,Date,Name of State / UT,Active Cases*,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered
105,2020-07-15,Andaman and Nicobar Islands,57,11.7401,92.6586,166,0,109,47,0,43
106,2020-07-15,Andhra Pradesh,15144,15.9129,79.74,33019,408,17467,15320,190,9459
107,2020-07-15,Arunachal Pradesh,306,28.218000000000004,94.7278,462,3,153,203,2,77
108,2020-07-15,Assam,6351,26.2006,92.9376,17807,40,11416,7139,26,4759
109,2020-07-15,Bihar,6261,25.0961,85.3131,19284,174,12849,7584,85,4163
110,2020-07-15,Chandigarh,144,30.7333,76.7794,600,10,446,140,4,51
111,2020-07-15,Chhattisgarh,1084,21.2787,81.8661,4379,20,3275,1218,6,726
112,2020-07-15,Dadra and Nagar Haveli and Daman and Diu,209,20.1809,73.0169,520,1,310,249,1,214
113,2020-07-15,Delhi,18664,28.7041,77.1025,115346,3446,93236,18146,442,24980
114,2020-07-15,Goa,1128,15.2993,74.124,2753,18,1607,1069,12,782
115,2020-07-15,Gujarat,11065,22.2587,71.1924,43637,2069,30503,8325,144,5097
116,2020-07-15,Haryana,5226,29.0588,76.0856,22628,312,17090,6080,52,4833
117,2020-07-15,Himachal Pradesh,347,31.1048,77.1734,1309,11,951,263,0,247
118,2020-07-15,Jammu and Kashmir,4755,33.7782,76.5762,11173,195,6223,2927,68,1080
119,2020-07-15,Jharkhand,1628,23.6102,85.2799,4091,36,2427,1352,19,392
120,2020-07-15,Karnataka,25845,15.3173,75.7139,44077,842,17390,22528,507,8146
121,2020-07-15,Kerala,4458,10.8505,76.2711,8930,34,4438,3726,9,1390
122,2020-07-15,Ladakh,146,34.2996,78.2932,1093,1,946,88,0,120
123,2020-07-15,Madhya Pradesh,4757,22.9734,78.6569,19005,673,13575,4401,75,2341
124,2020-07-15,Maharashtra,107963,19.7515,75.7139,267665,10695,149007,67601,2024,40925
125,2020-07-15,Manipur,702,24.6637,93.9063,1672,0,970,347,0,303
126,2020-07-15,Meghalaya,250,25.467,91.3662,318,2,66,256,1,23
127,2020-07-15,Mizoram,79,23.1645,92.9376,238,0,159,74,0,29
128,2020-07-15,Nagaland,550,26.1584,94.5624,896,0,346,333,0,118
129,2020-07-15,Odisha,4342,20.9517,85.0985,14280,74,9864,5679,40,3930
130,2020-07-15,Puducherry,684,11.9416,79.8083,1531,18,829,729,6,498
131,2020-07-15,Punjab,2635,31.1471,75.3412,8511,213,5663,2402,51,1357
132,2020-07-15,Rajasthan,5885,27.0238,74.2179,25571,525,19161,6039,78,3521
133,2020-07-15,Sikkim,122,27.533,88.5122,209,0,87,106,0,29
134,2020-07-15,Tamil Nadu,47915,11.1271,78.6569,147324,2099,97310,40323,649,36718
135,2020-07-15,Telangana,12530,18.1124,79.0193,37745,375,24840,15433,87,13303
136,2020-07-15,Tripura,630,23.9408,91.9882,2170,2,1538,624,1,336
137,2020-07-15,Uttar Pradesh,13758,26.8467,80.9462,39724,983,24983,13170,210,6829
138,2020-07-15,Uttarakhand,769,30.0668,79.0193,3686,50,2867,593,8,365
139,2020-07-15,West Bengal,11927,22.9868,87.855,32838,980,19931,11607,244,5765
